"","OBJECTID","SITE_NAME","OWNERSHIP","PROTECTION","TYPECODE","DISTRICT","ACRES","ADDRESS","ZonAgg","TypeLong","OS_Own_Jur","OS_Mngmnt","POS","PA","ALT_NAME","AgncyJuris","Shape_STArea__","Shape_STLength__","PARK_ID","REGION","ShapeSTArea","ShapeSTLength","Lat","Lon"
"2",2,"Nickerson Field","Private"," ",3,"Allston-Brighton",6.34559501," ","Institutional District","Parks, Playgrounds & Athletic Fields","NULL"," ","N","N","Boston University Field","",0,0,NA,"INFO_Reallocation From Dept",276419.032470703,2104.70261132196,42.353333,-71.11916
"3",3,"Hooker Sorrento Street Playground","City of Boston","A97",3,"Allston-Brighton",1.00537799,"120 Hooker Str.","Open Space District","Parks, Playgrounds & Athletic Fields","BPRD"," ","X","X"," ","",0,0,NA,"PARK_Maintenance_Region 4",43737.3513183594,852.844111741326,42.3659432,-71.0324121
"4",4,"Smith Playground","City of Boston","A97",3,"Allston-Brighton",14.79771231,"235 Western Ave.","Open Space District","Parks, Playgrounds & Athletic Fields","BPRD"," ","X","X"," ","",0,0,NA,"PARK_Maintenance_Region 4",654457.503662109,3624.89362059887,42.3635468,-71.1322849
"6",6,"Ringer Playground","City of Boston","A97",3,"Allston-Brighton",10.25585494," ","Open Space District","Parks, Playgrounds & Athletic Fields","BPRD"," ","X","X"," ","",0,0,NA,"PARK_Maintenance_Region 4",447031.205078125,3765.82938421239,42.3507371,-71.137796
"8",8,"McKinney Playground","City of Boston","A97",3,"Allston-Brighton",5.89138132,"61-74 Faneuil Str.","Open Space District","Parks, Playgrounds & Athletic Fields","BPRD"," ","X","X"," ","",0,0,NA,"PARK_Maintenance_Region 4",256633.134765625,2170.12626813511,42.3550448,-71.1526497
"9",9,"Hobart Park","City of Boston","A97",3,"Allston-Brighton",0.80884689,"Opposite 18 Ranlegh Rd.","Open Space District","Parks, Playgrounds & Athletic Fields","BPRD"," ","X","X"," ","",0,0,NA,"PARK_Maintenance_Region 4",35233.9973144531,797.596802155951,42.3552491,-71.1610219
"12",12,"Reilly Playground","Commonwealth of Massachusetts","A97",3,"Allston-Brighton",6.96695306," ","Open Space District","Parks, Playgrounds & Athletic Fields","DCR"," ","X","X"," ","",0,0,NA,"INFO_Reallocation From Dept",303485.871826172,2550.50594926454,42.3643243,-71.137841
"15",15,"Hardiman Playground","City of Boston","A97",3,"Allston-Brighton",1.47302947,"Adair Road/Faneuil Str.","Open Space District","Parks, Playgrounds & Athletic Fields","BPRD"," ","X","X"," ","",0,0,NA,"PARK_Maintenance_Region 4",64166.3046875,1064.40425969765,42.3512573,-71.1662032
"18",18,"Rogers Park","City of Boston","A97",3,"Allston-Brighton",8.17116962,"Adjacent to 91 Foster St","Open Space District","Parks, Playgrounds & Athletic Fields","BPRD"," ","X","X","Galvin Park","",0,0,NA,"PARK_Maintenance_Region 4",355942.476806641,2579.29301493364,42.3474752,-71.1591779
"23",23,"Boston College Athletic Fields","Private"," ",3,"Allston-Brighton",9.72386143," ","Institutional District","Parks, Playgrounds & Athletic Fields","NULL"," ","N","N"," ","",0,0,NA,"INFO_Reallocation From Dept",423578.935058594,3571.94170217031,42.3351179,-71.1664609
"24",24,"Chandler Pond","City of Boston","A97/WPA",3,"Allston-Brighton",18.90802906,"Opposite 44 Lake Shore Rd","Open Space District","Parks, Playgrounds & Athletic Fields","BPRD"," ","X","X","Gallagher Mem. Park","",0,0,NA,"PARK_Maintenance_Region 4",829074.783691406,4020.12494728014,42.3453061,-71.1652749
"30",30,"Downer Avenue Playground","City of Boston","A97",3,"Dorchester",0.80889778,"43 Downer Ave.","Residential District","Parks, Playgrounds & Athletic Fields","BPRD"," ","X","X"," ","",0,0,NA,"PARK_Maintenance_Region 2",32827.3276367188,913.509196912492,42.3115545,-71.0617552
"32",32,"Quincy Stanley Play Area","City of Boston","A97",3,"Dorchester",0.3724094,"Quincy Str.","Residential District","Parks, Playgrounds & Athletic Fields","BPRD"," ","X","X"," ","",0,0,NA,"PARK_Maintenance_Region 5",16344.8681640625,529.790732197091,42.283215,-71.0777259
"33",33,"Deer Street Park","City of Boston","A97",3,"Dorchester",0.24478116,"Opposite 34 Deer Str.","Residential District","Parks, Playgrounds & Athletic Fields","BPRD"," ","X","X"," ","",0,0,NA,"PARK_Maintenance_Region 2",10740.0939941406,487.057189630088,42.3110019,-71.0587374
"37",37,"McConnell Park","City of Boston","A97",3,"Dorchester",6.20127641,"28 Denny Str./Playstead Rd","Open Space District","Parks, Playgrounds & Athletic Fields","BPRD"," ","X","X"," ","",0,0,NA,"PARK_Maintenance_Region 2",279017.470458984,3043.68137223396,42.3088377,-71.0523768
"38",38,"Boston Common","City of Boston","A97/NHL",3,"Back Bay/Beacon Hill",46.52264921,"139 Tremont Str. @VIC","Open Space District","Parks, Playgrounds & Athletic Fields","BPRD","BPRD","X","X"," ","",0,0,NA,"PARK_Maintenance_Region 1",1992352.51342773,6329.29865578967,42.3549544,-71.0654886
"40",40,"Public Garden","City of Boston","A97",3,"Back Bay/Beacon Hill",23.51,"Boylston, Arlington, Charles","Open Space District","Parks, Playgrounds & Athletic Fields","BPRD","BPRD","X","X"," ","",0,0,NA,"PARK_Maintenance_Region 1",1023949.00854492,4131.46132622771,42.3541614,-71.0704078
"42",42,"Phillips Street Play Area","City of Boston","A97",3,"Back Bay/Beacon Hill",0.11526636,"Phillips Str.","Residential District","Parks, Playgrounds & Athletic Fields","BPRD","BPRD","X","X"," ","",0,0,NA,"PARK_Maintenance_Region 1",5021.09252929688,330.554053131274,42.3605265,-71.0673729
"43",43,"Myrtle Street Playground","City of Boston","A97",3,"Back Bay/Beacon Hill",0.14766565,"Opposite 28 Phillips Str.","Residential District","Parks, Playgrounds & Athletic Fields","BPRD"," ","X","X"," ","",0,0,NA,"PARK_Maintenance_Region 1",7001.39770507812,342.298412192708,42.3592065,-71.0661188
"48",48,"Clarendon Street Playlot","City of Boston","A97",3,"Back Bay/Beacon Hill",0.33235436," ","Residential District","Parks, Playgrounds & Athletic Fields","BPRD"," ","X","X"," ","",0,0,NA,"PARK_Maintenance_Region 1",14108.8996582031,475.648939317964,42.3528152,-71.0765447
"50",50,"DeFilippo Playground","City of Boston","A97",3,"Central Boston",1.11555607,"135 Prince Str.","Open Space District","Parks, Playgrounds & Athletic Fields","BPRD"," ","X","X"," "," ",0,0,NA,"PARK_Maintenance_Region 1",48701.7102050781,969.026371993307,42.3665145,-71.0570196
"53",53,"Foster Street Play Area","City of Boston","A97",3,"Central Boston",0.10503572," ","Open Space District","Parks, Playgrounds & Athletic Fields","BPRD"," ","X","X"," ","",0,0,NA,"PARK_Maintenance_Region 1",4686.06958007812,298.407257259619,42.3553662,-71.1616569
"54",54,"Charter Street Park","City of Boston","A97",3,"Central Boston",0.23534031,"Opposite 26 Charter Str.","Open Space District","Parks, Playgrounds & Athletic Fields","BPRD"," ","X","X"," ","",0,0,NA,"PARK_Maintenance_Region 1",10397.5825195312,495.821153780475,42.3671803,-71.054599
"56",56,"Polcari Park","City of Boston","A97",3,"Central Boston",0.28857259,"Opposite 44 Prince Str.","Open Space District","Parks, Playgrounds & Athletic Fields","BPRD"," ","X","X"," ","",0,0,NA,"PARK_Maintenance_Region 1",12570.4455566406,529.043123404816,42.3650019,-71.054466
"57",57,"Cutillo Park","City of Boston","A97",3,"Central Boston",0.28491861,"Opposite 15 Stillman Str.","Open Space District","Parks, Playgrounds & Athletic Fields","BPRD"," ","X","X"," ","",0,0,NA,"PARK_Maintenance_Region 1",12603.5688476562,505.561349462935,42.3635537,-71.056416
"60",60,"Norman B. Leventhal Park","Private","A97/Agrmnt",3,"Central Boston",1.54521864,"130 Congress Str.","Commercial/Office/Business District","Parks, Playgrounds & Athletic Fields","BRA","Private","X","X","Post Office Square Park","",0,0,NA,"INFO_Reallocation From Dept",67832.951171875,1076.30688774372,42.3561656,-71.0555339
"65",65,"Langone Park","City of Boston","A97/Ch91/WPA",3,"Central Boston",2.18,"529 Commercial Str.","Open Space District","Parks, Playgrounds & Athletic Fields","BPRD"," ","X","X"," ","",0,0,NA,"PARK_Maintenance_Region 1",95123.421875,1350.23993072625,42.3687115,-71.0560417
"70",70,"Tai Tung Park","City of Boston","A97",3,"Central Boston",0.03323863,"110 Tyler Street, Corner w/Tai Tung St.","Open Space District","Parks, Playgrounds & Athletic Fields","BPRD"," ","X","X","Tai Tung Tot Lot","",0,0,NA,"PARK_Maintenance_Region 1",1458.97265625,185.311413489551,42.3482997,-71.0615268
"71",71,"Pine Street Park","BRA"," ",3,"Central Boston",0.27166117," ","Residential District","Parks, Playgrounds & Athletic Fields","NULL"," ","N"," "," ","",0,0,NA,"PARK_Maintenance_Ground Maintenance",12309.1796875,543.203010960287,42.3431523,-71.064588
"74",74,"Edwards Playground","City of Boston","A97",3,"Charlestown",1.34,"10 Eden Str.","Commercial/Office/Business District","Parks, Playgrounds & Athletic Fields","BPRD"," ","X","X","McCarthy-Eden Plgd","",0,0,NA,"PARK_Maintenance_Region 1",58311.8923339844,1051.74273857358,42.37942,-71.0684121
"78",78,"Charlestown HS Athletic Fields","City of Boston","Ch91/WPA",3,"Charlestown",10.42,"Opposite 240 Medford St","Open Space District","Parks, Playgrounds & Athletic Fields","NULL","BPRD","N","X","Little Mystic Harborwalk","",0,0,NA,"PARK_Maintenance_Region 1",453734.610839844,5785.1936813186,42.3800262,-71.0610777
"79",79,"Ryan Playground","City of Boston","A97/Ch91/WPA",3,"Charlestown",8.78,"62 Alford Street","Open Space District","Parks, Playgrounds & Athletic Fields","BPRD"," ","X","X"," ","",0,0,NA,"PARK_Maintenance_Region 1",382283.078857422,2922.47871314675,42.2698189,-71.0850611
"81",81,"Barry Playground","City of Boston","A97/Ch91/WPA",3,"Charlestown",3.32,"41 Medford St","Open Space District","Parks, Playgrounds & Athletic Fields","BPRD"," ","X","X"," ","",0,0,NA,"PARK_Maintenance_Region 1",154686.39453125,1668.70186437779,42.3796512,-71.0531196
"82",82,"Doherty Playground","City of Boston","A97/USH",3,"Charlestown",3.02175616,"349 Bunker Hill Str.","Residential District","Parks, Playgrounds & Athletic Fields","BPRD"," ","X","X"," ","",0,0,NA,"PARK_Maintenance_Region 1",163447.6875,1672.62207580619,42.3823062,-71.0677907
"89",89,"East Boston Memorial Park I","City of Boston","A97",3,"East Boston",14.79060502," ","Open Space District","Parks, Playgrounds & Athletic Fields","BPRD"," ","X","X","Satori Stadium","",0,0,NA,"PARK_Maintenance_Region 1",770074.514648438,7044.28157992587,42.3720445,-71.0312049
"90",90,"Noyes Playground","City of Boston","A97",3,"East Boston",8.22374845,"86 Boardman St.","Open Space District","Parks, Playgrounds & Athletic Fields","BPRD"," ","X","X"," ","",0,0,NA,"PARK_Maintenance_Region 1",362270.787597656,2733.82070032443,42.3877086,-71.0100319
"93",93,"Cuneo Park","City of Boston","A97",3,"East Boston",0.23067238," ","Residential District","Parks, Playgrounds & Athletic Fields","BPRD"," ","X","X","Saratoga St. Play Area","",0,0,NA,"PARK_Maintenance_Region 1",10048.2678222656,400.930101738034,42.3836579,-71.0167541
"95",95,"American Legion Playground","City of Boston","A97",3,"East Boston",3.38388095,"24 Glendon Str.","Open Space District","Parks, Playgrounds & Athletic Fields","BPRD"," ","X","X"," ","",0,0,NA,"PARK_Maintenance_Region 1",147249.758300781,1538.69094238492,42.3819423,-71.0294996
"98",98,"Paris Street Playground","City of Boston","A97",3,"East Boston",0.79449789,"121 Paris Str.","Open Space District","Parks, Playgrounds & Athletic Fields","BPRD"," ","X","X"," ","",0,0,NA,"PARK_Maintenance_Region 1",34608.943359375,889.17242971372,42.3724524,-71.0395302
"99",99,"Brophy Park","City of Boston","A97",3,"East Boston",0.77383094,"Opposite 195 Webster Str.","Open Space District","Parks, Playgrounds & Athletic Fields","BPRD"," ","X","X","Belmont Square","",0,0,NA,"PARK_Maintenance_Region 1",34084.6674804688,773.872962702347,42.3656886,-71.0335264
"100",100,"Sumner & Lamson Street Playground","City of Boston","A97",3,"East Boston",0.48357588,"Opposite 492 Sumner Str.","Open Space District","Parks, Playgrounds & Athletic Fields","BPRD"," ","X","X"," ","",0,0,NA,"PARK_Maintenance_Region 1",20849.0988769531,617.092144744697,42.3600825,-71.0588801
"103",103,"Festa Field","Massport"," ",3,"East Boston",0.99445051," ","Special District","Parks, Playgrounds & Athletic Fields","Massport"," ","N"," "," ","",0,0,NA,"INFO_Reallocation From Dept",43319.0344238281,841.569810064438,42.3814236,-71.0199172
"106",106,"Dom Savio Athletic Field","Private"," ",3,"East Boston",3.11070765," ","Residential District","Parks, Playgrounds & Athletic Fields","NULL"," ","N"," "," ","",0,0,NA,"INFO_Reallocation From Dept",135504.834228516,1801.65082947453,42.3831684,-71.0151395
"107",107,"Fenway Park Field","Private"," ",3,"Fenway/Kenmore",2.78," ","Industrial District","Parks, Playgrounds & Athletic Fields","NULL"," ","N"," ","Baseball Field at Fenway Park","",0,0,NA,"INFO_Reallocation From Dept",121268.338378906,1376.70645049731,42.3466764,-71.0972178
"108",108,"Symphony Community Park","City of Boston","A97",3,"Fenway/Kenmore",0.49679593,"Edgerly Road btwn Norway and Burbank Sts.","Commercial/Office/Business District","Parks, Playgrounds & Athletic Fields","BPRD"," ","X","X","Morville Park","",0,0,NA,"PARK_Maintenance_Region 3",20803.8408203125,777.079467815473,42.3447808,-71.087568
"109",109,"Edgerly Road Playground","City of Boston","A97",3,"Fenway/Kenmore",0.1081164,"6 Edgerly Road","Special District","Parks, Playgrounds & Athletic Fields","BPRD"," ","X","X"," ","",0,0,NA,"PARK_Maintenance_Region 3",5366.22534179688,301.104383431028,42.3463001,-71.0879858
"111",111,"Wentworth Field","Private"," ",3,"Fenway/Kenmore",2.98150699," ","Institutional District","Parks, Playgrounds & Athletic Fields","NULL"," ","N"," "," ","",0,0,NA,"INFO_Reallocation From Dept",129876.753417969,1603.72462089262,42.3376965,-71.0940476
"132",132,"Connell Fields Hickey Courts","Commonwealth of Massachusetts","A97",3,"Hyde Park",4.1483742," ","Residential District","Parks, Playgrounds & Athletic Fields","DCR"," ","X","X","Smith Pond Playground","",0,0,NA,"INFO_Reallocation From Dept",731043.537353516,3936.99876363641,42.3600825,-71.0588801
"133",133,"Weider Park","Commonwealth of Massachusetts","A97",3,"Hyde Park",6.91931115," ","Residential District","Parks, Playgrounds & Athletic Fields","DCR"," ","X","X","Sherrin&Dale St.","",0,0,NA,"INFO_Reallocation From Dept",299833.948730469,2275.15057508057,42.2710446,-71.1236845
"138",138,"Doyle Playground","Commonwealth of Massachusetts","A97",3,"Hyde Park",0.94486646," ","Residential District","Parks, Playgrounds & Athletic Fields","DCR"," ","X","X"," ","",0,0,NA,"INFO_Reallocation From Dept",41159.1145019531,1303.270731445,42.2612278,-71.1118936
"142",142,"Amatucci Playground","City of Boston","A97",3,"Hyde Park",0.44867941,"Opposite 1661 Hyde Park Ave.","Commercial/Office/Business District","Parks, Playgrounds & Athletic Fields","BPRD"," ","X","X"," ","",0,0,NA,"PARK_Maintenance_Region 4",20293.240234375,613.11773062285,42.2485484,-71.1265626
"143",143,"Moynihan Playground","Commonwealth of Massachusetts","A97",3,"Hyde Park",7.18571325," ","Residential District","Parks, Playgrounds & Athletic Fields","DCR"," ","X","X"," ","",0,0,NA,"INFO_Reallocation From Dept",313015.234863281,2601.67760926123,42.2439214,-71.12517
"144",144,"Iacono Readville Playground","City of Boston","A97",3,"Hyde Park",4.91402344,"159 Readville Str.","Residential District","Parks, Playgrounds & Athletic Fields","BPRD"," ","X","X"," ","",0,0,NA,"PARK_Maintenance_Region 4",214058.666870117,2079.8024636076,42.2396106,-71.1348252
"145",145,"Camp Meigs","Commonwealth of Massachusetts","A97/ACEC",3,"Hyde Park",2.86583949," ","Residential District","Parks, Playgrounds & Athletic Fields","DCR"," ","X","X"," ","",0,0,NA,"INFO_Reallocation From Dept",124838.188232422,1506.55642337406,42.2348204,-71.1320401
"147",147,"Stony Brook Recreation Complex","Commonwealth of Massachusetts","A97",3,"Hyde Park",27.39,"Corner Turtle Pond Parkway & River Street","Residential District","Parks, Playgrounds & Athletic Fields","DCR"," ","X","X","Kelly/Factory Hill (Lawler)/Bajko/Olsen","",0,0,NA,"INFO_Reallocation From Dept",1193277.17578125,5359.04328763696,42.3600825,-71.0588801
"154",154,"Mission Hill Playground","City of Boston","A97",3,"Jamaica Plain",2.68681793,"60 Smith Str.","Open Space District","Parks, Playgrounds & Athletic Fields","BPRD"," ","X","X","Sheehy-Smith Playground","",0,0,NA,"PARK_Maintenance_Region 3",117039.870361328,1538.12633505761,42.3330516,-71.0993596
"155",155,"Gibbons Playground","City of Boston","A97",3,"Jamaica Plain",0.11,"10 Sewall Str.","Open Space District","Parks, Playgrounds & Athletic Fields","BPRD"," ","X","X","Delle Avenue Playground","",0,0,NA,"PARK_Maintenance_Region 3",4569.10595703125,285.677634585056,42.3311398,-71.0983847
"156",156,"Mozart Street Playground","City of Boston","A97",3,"Jamaica Plain",0.8062696,"28 Mozart Str.","Open Space District","Parks, Playgrounds & Athletic Fields","BPRD"," ","X","X","Holland Plgd","",0,0,NA,"PARK_Maintenance_Region 3",35121.728515625,768.172462771436,42.3223489,-71.104559
"158",158,"Beecher Street Play Area","City of Boston","A97",3,"Jamaica Plain",0.1742426,"105 Paul Gore Str.","Open Space District","Parks, Playgrounds & Athletic Fields","BPRD"," ","X","X"," ","",0,0,NA,"PARK_Maintenance_Region 3",7590.14306640625,362.774500408284,42.3600825,-71.0588801
"159",160,"Murphy Playground","City of Boston","",3,"Jamaica Plain",2.59767464,"20 Child Str.","Open Space District","Parks, Playgrounds & Athletic Fields","NULL","BPRD","N","X"," ","BPS",0,0,NA,"PARK_Maintenance_Region 3",110805.930664062,1666.94695700214,42.3074686,-71.113238
"164",165,"English H.S. Athletic Fields","City of Boston"," ",3,"Jamaica Plain",7.63320583,"144 McBride Str.","Open Space District","Parks, Playgrounds & Athletic Fields","NULL","BPRD","N","X"," ","",0,0,NA,"PARK_Maintenance_Region 3",332508.357666016,3592.43957997497,42.2878,-71.131233
"165",166,"Johnson Park II","City of Boston","A97",3,"Jamaica Plain",0.17063559," ","Open Space District","Parks, Playgrounds & Athletic Fields","NULL","DCR","N","X"," ","",0,0,NA,"INFO_Reallocation From Dept",7433.01635742188,567.290656109892,42.3226252,-71.1036472
"166",167,"Johnson Park I","Commonwealth of Massachusetts","A97",3,"Jamaica Plain",2.60085765," ","Open Space District","Parks, Playgrounds & Athletic Fields","DCR"," ","X","X"," ","",0,0,NA,"INFO_Reallocation From Dept",113295.372070312,1467.48540390041,42.311327,-71.1079014
"168",169,"Hellenic College Athletic Field","Private"," ",3,"Jamaica Plain",3.40660796," ","Conservation Protection Subdistrict","Parks, Playgrounds & Athletic Fields","NULL"," ","N"," "," ","",0,0,NA,"INFO_Reallocation From Dept",148394.480712891,1655.39382262835,42.3169836,-71.1262841
"173",174,"Thetford Evans Playground","City of Boston","A97",3,"Mattapan",0.68,"Corner of Thetford & Evans Sts","Residential District","Parks, Playgrounds & Athletic Fields","BPRD"," ","X","X"," "," ",0,0,NA,"PARK_Maintenance_Region 2",29759.8840332031,699.929544109645,42.283215,-71.0777259
"179",180,"Msgr. Francis A. Ryan Park","Commonwealth of Massachusetts","A97",3,"Mattapan",6.14129551," ","Open Space District","Parks, Playgrounds & Athletic Fields","DCR"," ","X","X"," ","",0,0,NA,"INFO_Reallocation From Dept",267519.58984375,2585.46469262542,42.3600825,-71.0588801
"183",184,"Walker Playground","City of Boston","A97",3,"Mattapan",5.9534334,"550 Norfolk Str.","Commercial/Office/Business District","Parks, Playgrounds & Athletic Fields","BPRD"," ","X","X"," ","",0,0,NA,"PARK_Maintenance_Region 2",259336.168945312,2437.93893800278,42.2778255,-71.0893358
"184",185,"Kennedy Playground","Commonwealth of Massachusetts","A97",3,"Mattapan",0.26002942," ","Open Space District","Parks, Playgrounds & Athletic Fields","DCR"," ","X","X","Charles Plgd","",0,0,NA,"INFO_Reallocation From Dept",11327.0830078125,485.668205218175,42.2654693,-71.0959707
"187",188,"Weld Hill Tract","Private"," ",3,"Roslindale",14.11,"Centre, Weld & Walter Streets","Conservation Protection Subdistrict","Parks, Playgrounds & Athletic Fields","NULL","Private","N","X","Walter Street Tract, Arnold Arboretum","",0,0,NA,"INFO_Reallocation From Dept",614572.606445312,4031.6300483697,42.3600825,-71.0588801
"188",189,"Pagel Playground","City of Boston","A97",3,"Roslindale",2.72504189,"365 Hyde Park Ave.","Open Space District","Parks, Playgrounds & Athletic Fields","BPRD"," ","X","X"," "," ",0,0,NA,"PARK_Maintenance_Region 4",118355.528564453,1652.93422804545,42.2890785,-71.1186711
"189",190,"Parkman Playground","City of Boston","A97",3,"Roslindale",2.06809445,"58 Wachusett Str.","Open Space District","Parks, Playgrounds & Athletic Fields","BPRD"," ","X","X"," ","",0,0,NA,"PARK_Maintenance_Region 4",90087.7961425781,1277.67477714408,42.2958614,-71.1131006
"191",192,"Fallon Field","City of Boston","A97",3,"Roslindale",7.51145116,"940 South Str.","Residential District","Parks, Playgrounds & Athletic Fields","BPRD"," ","X","X"," ","",0,0,NA,"PARK_Maintenance_Region 4",327204.629150391,2373.30290801095,42.287344,-71.1355679
"192",193,"Poplar Street Play Area","City of Boston","A97",3,"Roslindale",0.44211382,"Opposite 238 Poplar St.","Open Space District","Parks, Playgrounds & Athletic Fields","BPRD"," ","X","X","Hillside Play Area","",0,0,NA,"PARK_Maintenance_Region 4",18995.9931640625,613.585565994151,42.2806814,-71.1265626
"197",198,"Whittier Playground","City of Boston"," ",3,"Roxbury",0.27550283," ","Open Space District","Parks, Playgrounds & Athletic Fields","NULL"," ","N","X"," ","",0,0,NA,"INFO_Reallocation From Dept",12001.1169433594,461.221635361202,42.333961,-71.0883572
"199",200,"King Street Play Area","City of Boston","A97",3,"Roxbury",0.13,"239 Roxbury Street","Open Space District","Parks, Playgrounds & Athletic Fields","BPRD","Private","X","X","Play Area #4","BPRD",0,0,NA,"PARK_Maintenance_Region 5",5457.4541015625,307.742056399031,42.3302644,-71.0928139
"200",201,"Jeep Jones Park","City of Boston","A97",3,"Roxbury",1.82,"221 Roxbury Str.","Open Space District","Parks, Playgrounds & Athletic Fields","BPRD"," ","X","X"," ","",0,0,NA,"PARK_Maintenance_Region 5",79196.2839355469,1230.88351427941,42.3308939,-71.0919319
"204",205,"St James Street Park","City of Boston","A97",3,"Roxbury",0.38489331,"Adjacent to 35 St. James Str.","Open Space District","Parks, Playgrounds & Athletic Fields","BPRD"," ","X","X"," ","",0,0,NA,"PARK_Maintenance_Region 5",17115.8156738281,562.33302715038,42.3269894,-71.0851539
"205",207,"Malcolm X Park I","City of Boston","A97",3,"Roxbury",15.12,"158 Walnut Avenue","Open Space District","Parks, Playgrounds & Athletic Fields","BPRD"," ","X","X","Washington Park","",0,0,NA,"PARK_Maintenance_Region 5",658608.477294922,3913.71002466764,42.3213559,-71.0891464
"206",208,"Horatio Harris Park","City of Boston","A97",3,"Roxbury",2.52189718,"Opposite 227 Walnut Ave","Open Space District","Parks, Playgrounds & Athletic Fields","BPRD"," ","X","X"," ","",0,0,NA,"PARK_Maintenance_Region 3",109855.794433594,1301.21660297452,42.3186911,-71.0900749
