"","OBJECTID","SITE_NAME","OWNERSHIP","PROTECTION","TYPECODE","DISTRICT","ACRES","ADDRESS","ZonAgg","TypeLong","OS_Own_Jur","OS_Mngmnt","POS","PA","ALT_NAME","AgncyJuris","Shape_STArea__","Shape_STLength__","PARK_ID","REGION","ShapeSTArea","ShapeSTLength","Lat","Lon"
"400",403,"Colella Playground","Commonwealth of Massachusetts","A97",3,"Hyde Park",0.68814713," ","Commercial/Office/Business District","Parks, Playgrounds & Athletic Fields","DCR"," ","X","X"," ","",0,0,NA,"INFO_Reallocation From Dept",29976.2221679688,712.736700161234,42.2448513,-71.1350109
"402",405,"Dooley Playground","Commonwealth of Massachusetts","A97",3,"Hyde Park",0.44495663," ","Residential District","Parks, Playgrounds & Athletic Fields","DCR"," ","X","X"," ","",0,0,NA,"INFO_Reallocation From Dept",23331.87109375,650.894704184524,42.2542218,-71.1345467
"404",407,"Patrick J. Kelly Park","Private"," ",3,"Charlestown",0.14062231," ","Residential District","Parks, Playgrounds & Athletic Fields","NULL"," ","N"," "," ","",0,0,NA,"PARK_Maintenance_Region 1",10964.1762695312,553.926990489645,42.3755446,-71.0575303
"416",419,"White Stadium","City of Boston","A97",3,"Roxbury",12.57331008," ","Open Space District","Parks, Playgrounds & Athletic Fields","George Robert White Fund","BPS","X","X"," ","",0,0,NA,"INFO_Reallocation From Dept",547703.124511719,2960.77648429408,42.3097446,-71.095909
"420",423,"Millennium Park I","City of Boston","SURF/WPA",3,"West Roxbury",91.65,"300 Gardner Str.","Open Space District","Parks, Playgrounds & Athletic Fields","NULL","BPRD","X","X","Gardner Street Park","",0,0,NA,"PARK_Maintenance_Region 4",3992302.13256836,9539.99727802337,42.2818424,-71.1819841
"421",424,"South Street Mall & Courts","City of Boston","A97",3,"Jamaica Plain",0.08138799,"South & Child Sts","Open Space District","Parks, Playgrounds & Athletic Fields","BPRD","BPRD","X","X"," ","BPRD",0,0,NA,"INFO_Reallocation From Dept",18660.533203125,548.881867972821,42.3600825,-71.0588801
"423",426,"Golden Stairs Terrace Park I","City of Boston","A97",3,"East Boston",0.17," ","Residential District","Parks, Playgrounds & Athletic Fields","BCC","BPRD","X","X","Terrace Park","",0,0,NA,"PARK_Maintenance_Region 1",7426.33569335938,348.861517761875,42.3648933,-71.0340836
"426",429,"Roxbury Heritage State Park II","City of Boston","",3,"Roxbury",0.35," ","Institutional District","Parks, Playgrounds & Athletic Fields","NULL","DCR","N","X","Dillaway Thomas House","",0,0,NA,"INFO_Reallocation From Dept",15127.5417480469,496.803878790731,42.3304235,-71.0904653
"428",431,"Nellie Miranda Memorial Park","City of Boston","A97",3,"Dorchester",0.09," ","Residential District","Parks, Playgrounds & Athletic Fields","BPRD","BPRD","X","X"," ","BPRD",0,0,NA,"PARK_Maintenance_Ground Maintenance",3806.54956054688,252.110161877906,42.3600825,-71.0588801
"437",440,"Ohrenberger Recreation Complex","City of Boston"," ",3,"West Roxbury",3.79797555," ","Residential District","Parks, Playgrounds & Athletic Fields","NULL"," ","N","X"," ","",0,0,NA,"INFO_Reallocation From Dept",165442.743774414,3302.85231900789,42.3600825,-71.0588801
